Unnamed: 0               How old are you?
0      Marion                             12
1       Elroy                             16
2         NaN  What is your favorite animal?
3      Marion                            dog
4       Elroy                            cat
5         NaN                            NaN
6         NaN                            NaN
7         NaN                            NaN
8         NaN                            NaN
9         NaN                            NaN
10        NaN                            NaN
11        NaN                            NaN
12        NaN                            NaN
13        NaN                            NaN
14        NaN                            NaN
15        NaN                            NaN
16        NaN                            NaN
